Change ID*+,Impact*,Submitter*,Support Company*+,Support Organization,Support Group Name,Scheduled Start Date+,Scheduled End Date+,Summary*,Notes,Urgency*,Risk Level*
CRQ000000004616,4-Minor/Localized,KHassan3,Service Operation,Technology,NSM,4/26/2010 0:00,4/26/2010 12:11,Enable User RSG,"CBS confirguation, username:    Mohame dElkadi  [emohelk]  Ahmed Ezzat [eezzaahm]  Omar Ismail [eomaism]    2G and 3G OSS",4-Low,Risk Level 1
CRQ000000004613,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,4/26/2010 0:00,4/27/2010 0:00,RSG for eezzahm,RSG,4-Low,Risk Level 1
CRQ000000004612,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/26/2010 0:00,4/28/2010 0:00,"Please open RSG for ""Ekesmohi""","Please open RSG for ""Ekesmohi""",4-Low,Risk Level 1
CRQ000000004595,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/26/2010 0:00,4/28/2010 0:00,Please open RSG for below user  emingeo,ASA Please,4-Low,Risk Level 1
CRQ000000004486,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,4/21/2010 0:00,4/22/2010 0:00,RSG for emingeo,RSG,4-Low,Risk Level 1
CRQ000000004229,4-Minor/Localized,EHassib,Service Operation,Technology,IN,4/19/2010 15:00,4/19/2010 15:30,RSG access for Ebahahm,rsg access,4-Low,Risk Level 1
CRQ000000004164,4-Minor/Localized,AAhmed81,Tech-PSD Voice and Messaging,Technology,Tech-PSD Voice and Messaging,4/18/2010 16:42,4/19/2010 0:00,List editing,SC 5252,4-Low,Risk Level 1
CRQ000000004030,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/15/2010 0:00,4/17/2010 0:00,"Please open RSG for below user  Amr Tawfik     ""eamrtawi""",Open RSG,2-High,Risk Level 1
CRQ000000003748,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/12/2010 0:00,4/14/2010 0:00,OPEN RSG,OPEN RSG for below user  EELASAZ,4-Low,Risk Level 1
CRQ000000003519,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/7/2010 23:00,4/8/2010 7:00,RSG,RSG,2-High,Risk Level 1
CRQ000000003511,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/7/2010 16:16,4/7/2010 16:16,RSG,RSG,4-Low,Risk Level 1
CRQ000000003509,4-Minor/Localized,Yghozlan,Service Operation,Technology,Charging,4/7/2010 16:07,4/7/2010 16:10,RSG,RSG,4-Low,Risk Level 1
CRQ000000003461,4-Minor/Localized,Akafoury,Service Operation,Technology,VAS Support,4/7/2010 12:05,4/7/2010 12:15,Enable Bytemobile VPN for five days,Enable Bytemobile VPN for five days,4-Low,Risk Level 1
CRQ000000003444,4-Minor/Localized,Afarouk,Service Operation,Technology,NSM,4/7/2010 0:00,4/9/2010 0:00,RSG Request,RSG for  Mina mounir [eminmou]  to handle OSS CSRs,2-High,Risk Level 1
CRQ000000003366,4-Minor/Localized,AMostafa10,Prepaid Charging,Technology,Prepaid Charging,4/6/2010 23:59,4/7/2010 5:00,868 BT route,Kindly route C5-Huawei 868 traffic on CTI-2 to new BT-C5 node.    Steps:  edit the 868.ini file:  VASPbaseURL = http://172.21.39.153/VASProv/    Please test 868 Balance Transfer on this CTI after apply WO,2-High,Risk Level 1
